date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:16	498/498	---M--	200	added ('OK')	text/plain	date:Tue,%2019%20Sep%202023%2007:09:17%20GMT	https://www.northcalfrenchies.com/robots.txt		(from )
13:09:17	1142395/1142395	---MCZ	200	added ('OK')	text/html	etag:W/%222a3c9225c0056afcb2e32d6e15e58def%22	https://www.northcalfrenchies.com/	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/index.html	(from )
13:09:18	28003/28003	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Sep%202023%2017:47:11%20GMT	https://static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png	C:/My%20Web%20Sites/Animal-Breeder1/static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png	(from https://www.northcalfrenchies.com/)
13:09:18	2434/2434	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Sep%202023%2017:16:04%20GMT	https://static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png	C:/My%20Web%20Sites/Animal-Breeder1/static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png	(from https://www.northcalfrenchies.com/)
13:09:18	25468/25468	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Sep%202023%2017:47:11%20GMT	https://static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22~mv2.png	C:/My%20Web%20Sites/Animal-Breeder1/static.wixstatic.com/media/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/ff5b16_1e0eba33f20a4660bb0f72e356a13b22_mv2.png	(from https://www.northcalfrenchies.com/)
13:09:19	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Animal-Breeder1/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.northcalfrenchies.com/)
13:09:20	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Animal-Breeder1/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.northcalfrenchies.com/)
13:09:20	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2017%20Sep%202023%2015:01:07%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Animal-Breeder1/polyfill.io/v3/polyfill.mind82c.js	(from https://www.northcalfrenchies.com/)
13:09:22	90649/90649	---MCZ	200	added ('OK')	text/xml	date:Tue,%2019%20Sep%202023%2007:09:22%20GMT	https://www.northcalfrenchies.com/blog-feed.xml	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/blog-feed.xml	(from https://www.northcalfrenchies.com/)
13:09:25	958503/958503	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:24%20GMT	https://www.northcalfrenchies.com/about	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/about.html	(from https://www.northcalfrenchies.com/)
13:09:26	686027/686027	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:26%20GMT	https://www.northcalfrenchies.com/why-northcalfrenchies	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/why-northcalfrenchies.html	(from https://www.northcalfrenchies.com/)
13:09:29	1274332/1274332	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:27%20GMT	https://www.northcalfrenchies.com/rehome	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/rehome.html	(from https://www.northcalfrenchies.com/)
13:09:30	1192746/1192746	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:28%20GMT	https://www.northcalfrenchies.com/rehomingprocess	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/rehomingprocess.html	(from https://www.northcalfrenchies.com/)
13:09:31	976948/976948	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:29%20GMT	https://www.northcalfrenchies.com/frenchbulldogcare	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/frenchbulldogcare.html	(from https://www.northcalfrenchies.com/)
13:09:31	738769/738769	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:30%20GMT	https://www.northcalfrenchies.com/frenchiequestions	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/frenchiequestions.html	(from https://www.northcalfrenchies.com/)
13:09:34	976785/976785	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:32%20GMT	https://www.northcalfrenchies.com/blogsandvideos	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/blogsandvideos.html	(from https://www.northcalfrenchies.com/)
13:09:35	1166186/1166186	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:35%20GMT	https://www.northcalfrenchies.com/faq	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/faq.html	(from https://www.northcalfrenchies.com/)
13:09:37	1192311/1192311	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:36%20GMT	https://www.northcalfrenchies.com/sittingservice	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/sittingservice.html	(from https://www.northcalfrenchies.com/)
13:09:39	1146420/1146420	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:37%20GMT	https://www.northcalfrenchies.com/frenchbulldogessentials	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/frenchbulldogessentials.html	(from https://www.northcalfrenchies.com/)
13:09:39	731655/731655	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2007:09:39%20GMT	https://www.northcalfrenchies.com/merch	C:/My%20Web%20Sites/Animal-Breeder1/www.northcalfrenchies.com/merch.html	(from https://www.northcalfrenchies.com/)
